um_title,onet_code,onet_title,mapping_method,gemini_confidence
Radiation Safety Officer,29-2033.00,Nuclear Medicine Technologists,curated,
Radiologist,29-1224.00,Radiologists,curated,
Real Estate Agent,41-9022.00,Real Estate Sales Agents,curated,
Real Estate Appraiser,13-2023.00,Appraisers and Assessors of Real Estate,curated,
Real Estate Broker,41-9021.00,Real Estate Brokers,curated,
Real Estate Lawyer,23-1011.00,Lawyers,gemini,0.95
Real Estate Researcher,13-1161.00,Market Research Analysts and Marketing Specialists,gemini,0.8
Real Estate Valuer,13-2023.00,Appraisers and Assessors of Real Estate,gemini,0.95
Real-Time Systems Developer,15-1252.00,Software Developers,gemini,0.95
Recording Engineer,27-4014.00,Sound Engineering Technicians,curated,
Recreation Manager,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",curated,
Regional Planner,19-3051.00,Urban and Regional Planners,curated,
Registered Nurse,29-1141.00,Registered Nurses,curated,
Regulatory Affairs Associate,13-1041.07,Regulatory Affairs Specialists,gemini,0.95
Regulatory Affairs Officer,13-1041.07,Regulatory Affairs Specialists,gemini,0.95
Regulatory Affairs Specialist,13-1041.07,Regulatory Affairs Specialists,curated,
Rehabilitation Engineer,17-2031.00,Bioengineers and Biomedical Engineers,gemini,0.9
Rehabilitation Specialist,21-1015.00,Rehabilitation Counselors,curated,
Reinforced Concrete Engineer,17-2051.00,Civil Engineers,gemini,0.95
Reinsurance Analyst,13-2054.00,Financial Risk Specialists,gemini,0.85
Religious Advisor,21-2099.00,"Religious Workers, All Other",gemini,0.85
Religious Affairs Officer,21-2099.00,"Religious Workers, All Other",gemini,0.85
Religious Broadcaster,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,gemini,0.85
Religious Counsellor,21-1019.00,"Counselors, All Other",gemini,0.85
Religious Education Coordinator,21-2021.00,"Directors, Religious Activities and Education",curated,
Religious Educator,21-2021.00,"Directors, Religious Activities and Education",gemini,0.9
Religious Event Organizer,13-1121.00,"Meeting, Convention, and Event Planners",gemini,0.9
Religious School Administrator,11-9032.00,"Education Administrators, Kindergarten through Secondary",gemini,0.9
Religious Studies Scholar,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",gemini,0.85
Religious Teacher,25-3021.00,Self-Enrichment Teachers,gemini,0.75
Remote Sensing Analyst,19-2099.01,Remote Sensing Scientists and Technologists,curated,
Remote Sensing Specialist,19-2099.01,Remote Sensing Scientists and Technologists,gemini,0.95
Renewable Energy Consultant,13-1199.05,Sustainability Specialists,gemini,0.8
Renewable Energy Specialist,13-1199.05,Sustainability Specialists,gemini,0.85
Research Analyst,13-2099.01,Financial Quantitative Analysts,curated,
Research Assistant,19-4061.00,Social Science Research Assistants,gemini,0.7
Research Assistant in Sports Science,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",gemini,0.85
Research Officer,,,unmapped,0.85
Research Officer (Islamic Economics),19-3011.00,Economists,gemini,0.85
Research Scientist,,,unmapped,0.8
Research and Development Engineer,17-2199.00,"Engineers, All Other",gemini,0.85
Researcher,,,unmapped,0.85
Researcher in Islamic Theology,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.8
Researcher in Law,23-2099.00,"Legal Support Workers, All Other",gemini,0.85
Retail Manager,41-1011.00,First-Line Supervisors of Retail Sales Workers,gemini,0.9
Risk Analyst,13-2054.00,Financial Risk Specialists,curated,
Risk Assessor,13-2054.00,Financial Risk Specialists,gemini,0.85
Risk Manager,11-3031.00,Financial Managers,gemini,0.85
Robotics Engineer,17-2199.08,Robotics Engineers,curated,
STEM Program Coordinator,25-9031.00,Instructional Coordinators,gemini,0.85
Safety Engineer,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",gemini,0.95
Safety and Compliance Engineer,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",gemini,0.9
Sales Executive,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",gemini,0.85
School Health Nurse,29-1141.00,Registered Nurses,gemini,0.95
Science Communicator,27-3042.00,Technical Writers,gemini,0.8
Science Outreach Officer,27-3031.00,Public Relations Specialists,gemini,0.8
Science Teacher,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",gemini,0.9
Science Writer,27-3042.00,Technical Writers,gemini,0.9
Scientific Writer,27-3042.00,Technical Writers,gemini,0.9
Screenwriter,27-3043.05,"Poets, Lyricists and Creative Writers",gemini,0.95
Scriptwriter,27-3043.05,"Poets, Lyricists and Creative Writers",gemini,0.95
Security Analyst,15-1212.00,Information Security Analysts,gemini,0.9
Seismologist,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",gemini,0.95
Set Designer,27-1027.00,Set and Exhibit Designers,curated,
Shariah Advisor,21-2099.00,"Religious Workers, All Other",gemini,0.8
Shariah Compliance Officer,13-1041.00,Compliance Officers,gemini,0.9
Shariah Lawyer,23-1011.00,Lawyers,gemini,0.95
Site Engineer,17-2051.00,Civil Engineers,gemini,0.9
Site Inspector,47-4011.00,Construction and Building Inspectors,gemini,0.9
Site Quantity Surveyor,13-1051.00,Cost Estimators,gemini,0.9
Site Supervisor,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,gemini,0.9
Social Entrepreneur,11-1011.00,Chief Executives,gemini,0.8
Social Media Manager,11-2021.00,Marketing Managers,gemini,0.85
Social Planner,19-3051.00,Urban and Regional Planners,gemini,0.85
Social Policy Advisor,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.85
Social Researcher,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.85
Social Services Administrator,11-9151.00,Social and Community Service Managers,gemini,0.9
Social Services Coordinator,21-1099.00,"Community and Social Service Specialists, All Other",gemini,0.85
Social Worker,21-1029.00,"Social Workers, All Other",gemini,0.9
Social and Cultural Analyst,19-3099.00,"Social Scientists and Related Workers, All Other",gemini,0.85
Sociologist/Anthropologist,19-3041.00,Sociologists,curated,
Software Architect,15-1252.00,Software Developers,curated,
Software Developer,15-1252.00,Software Developers,curated,
Software Engineer,15-1252.00,Software Developers,curated,
Software Maintenance Specialist,15-1252.00,Software Developers,gemini,0.85
Software Quality Analyst,15-1253.00,Software Quality Assurance Analysts and Testers,gemini,0.95
Software Requirements Analyst,15-1211.00,Computer Systems Analysts,gemini,0.9
Software Tester,15-1253.00,Software Quality Assurance Analysts and Testers,gemini,0.95
Soil Scientist,19-1013.00,Soil and Plant Scientists,gemini,0.95
Solid Waste Management Engineer,17-2081.00,Environmental Engineers,gemini,0.9
Songwriter,27-2041.00,Music Directors and Composers,gemini,0.9
Sound Designer,27-4014.00,Sound Engineering Technicians,gemini,0.85
Southeast Asia Regional Analyst,19-3094.00,Political Scientists,gemini,0.8
Spanish Language Teacher,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",gemini,0.85
Spatial Analyst,15-1299.02,Geographic Information Systems Technologists and Technicians,gemini,0.9
Special Education Teacher,25-2051.00,"Special Education Teachers, Preschool",curated,
Speech Analyst,15-2051.00,Data Scientists,gemini,0.65
Speech Therapist Assistant,31-9099.01,Speech-Language Pathology Assistants,gemini,0.95
Speechwriter,27-3043.00,Writers and Authors,gemini,0.95
Sponsorship Coordinator,13-1131.00,Fundraisers,gemini,0.8
Sports Agent,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",gemini,0.95
Sports Analyst,27-3023.00,"News Analysts, Reporters, and Journalists",gemini,0.85
Sports Coach,27-2022.00,Coaches and Scouts,gemini,0.95
Sports Consultant,13-1111.00,Management Analysts,gemini,0.7
Sports Data Analyst,15-2051.00,Data Scientists,gemini,0.9
Sports Development Officer,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",gemini,0.8
Sports Facility Manager,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",gemini,0.85
Sports Journalist,27-3023.00,"News Analysts, Reporters, and Journalists",gemini,0.95
Sports Marketing Manager,11-2021.00,Marketing Managers,gemini,0.95
Sports Medicine Technician,29-9091.00,Athletic Trainers,gemini,0.85
Sports Nutritionist,29-1031.00,Dietitians and Nutritionists,gemini,0.95
Sports Official,27-2023.00,"Umpires, Referees, and Other Sports Officials",curated,
Sports Product Manager,13-1082.00,Project Management Specialists,gemini,0.8
Sports Psychologist Assistant,19-3039.00,"Psychologists, All Other",gemini,0.75
Sports Public Relations Specialist,27-3031.00,Public Relations Specialists,gemini,0.95
Sports Scientist,29-1128.00,Exercise Physiologists,gemini,0.9
Sports Statistician,15-2041.00,Statisticians,gemini,0.95
Stage Combat Instructor,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",gemini,0.75
Stage Director,27-2012.00,Producers and Directors,gemini,0.95
Stage Manager,27-2012.05,Media Technical Directors/Managers,gemini,0.85
Stage Technician,27-4099.00,"Media and Communication Equipment Workers, All Other",gemini,0.85
Statistical Analyst,15-2041.00,Statisticians,curated,
Statistical Programmer,15-1251.00,Computer Programmers,gemini,0.9
Statistician,15-2041.00,Statisticians,curated,
Strategic Communications Consultant,27-3031.00,Public Relations Specialists,gemini,0.85
Strategic Planner,13-1111.00,Management Analysts,gemini,0.9
Strategic Planning Executive,13-1111.00,Management Analysts,gemini,0.85
Strength and Conditioning Coach,39-9031.00,Exercise Trainers and Group Fitness Instructors,curated,
Structural Engineer,17-2051.00,Civil Engineers,gemini,0.95
Substance Abuse Counselor,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,gemini,0.95
Subtitle Translator,27-3091.00,Interpreters and Translators,gemini,0.95
Subtitler,27-3091.00,Interpreters and Translators,gemini,0.9
Subtitling Specialist,27-3091.00,Interpreters and Translators,gemini,0.9
Supply Chain Coordinator,13-1081.00,Logisticians,gemini,0.9
Surgeon,29-1249.00,"Surgeons, All Other",gemini,0.95
Survey Researcher,19-3022.00,Survey Researchers,curated,
Sustainability Consultant,13-1199.05,Sustainability Specialists,curated,
Sustainability Officer,13-1199.05,Sustainability Specialists,gemini,0.9
Sustainable Design Consultant,13-1199.05,Sustainability Specialists,curated,
Sustainable Design Engineer,17-2081.00,Environmental Engineers,gemini,0.85
Sustainable Development Consultant,13-1199.05,Sustainability Specialists,gemini,0.85
Sustainable Development Engineer,17-2081.00,Environmental Engineers,gemini,0.85
Syariah Auditor,13-2011.00,Accountants and Auditors,gemini,0.9
Systems Analyst,15-1211.00,Computer Systems Analysts,gemini,0.95
TESL Program Director,11-9039.00,"Education Administrators, All Other",gemini,0.85
Tahfiz School Teacher,25-3099.00,"Teachers and Instructors, All Other",gemini,0.8
Takaful (Islamic Insurance) Agent,41-3021.00,Insurance Sales Agents,gemini,0.95
Tamil Language Teacher,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",gemini,0.85
Tax Consultant,13-2082.00,Tax Preparers,curated,
Teaching English as a Second Language (TESL) Teacher,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",gemini,0.95
Team Operations Manager,11-1021.00,General and Operations Managers,gemini,0.9
Technical Consultant,15-1211.00,Computer Systems Analysts,gemini,0.85
Technical Officer,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",gemini,0.65
Technical Support Specialist,15-1232.00,Computer User Support Specialists,curated,
Technical Writer,27-3042.00,Technical Writers,curated,
Technopreneur,11-1011.00,Chief Executives,gemini,0.6
Telecommunications Engineer,15-1241.01,Telecommunications Engineering Specialists,gemini,0.95
Tendering Specialist,13-1051.00,Cost Estimators,gemini,0.9
Text Analyst,15-2051.00,Data Scientists,gemini,0.75
Textbook Writer For Islamic Subjects,27-3043.00,Writers and Authors,gemini,0.85
Theatre Critic,27-3043.00,Writers and Authors,gemini,0.85
Theatre Designer,27-1027.00,Set and Exhibit Designers,gemini,0.95
Theatre Director,27-2012.00,Producers and Directors,gemini,0.95
Theatre Manager,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",gemini,0.9
Theatre Producer,27-2012.00,Producers and Directors,gemini,0.95
Theatre Technician,27-4099.00,"Media and Communication Equipment Workers, All Other",gemini,0.8
Tissue Engineer,17-2031.00,Bioengineers and Biomedical Engineers,gemini,0.9
Tissue Engineering Specialist,17-2031.00,Bioengineers and Biomedical Engineers,gemini,0.9
Tour Guide,39-7011.00,Tour Guides and Escorts,curated,
Tourism Consultant,13-1111.00,Management Analysts,gemini,0.75
Tourism Development Officer,13-1199.00,"Business Operations Specialists, All Other",gemini,0.75
Tourism Officer,13-1199.00,"Business Operations Specialists, All Other",gemini,0.7
Tournament Director,11-9072.00,"Entertainment and Recreation Managers, Except Gambling",gemini,0.85
Town Planner,19-3051.00,Urban and Regional Planners,gemini,0.95
Toxicologist,19-1042.00,"Medical Scientists, Except Epidemiologists",curated,
Trade Analyst,13-1161.00,Market Research Analysts and Marketing Specialists,gemini,0.8
Trade and Investment Officer,13-1199.00,"Business Operations Specialists, All Other",gemini,0.75
Traditional Dance Performer,27-2031.00,Dancers,gemini,0.95
Traditional Music Specialist,27-2042.00,Musicians and Singers,gemini,0.9
Traffic Engineer,17-2051.01,Transportation Engineers,curated,
Training Specialist,13-1151.00,Training and Development Specialists,curated,
Transcriptionist,31-9094.00,Medical Transcriptionists,curated,
Translator,27-3091.00,Interpreters and Translators,curated,
Translator Of Islamic Texts,27-3091.00,Interpreters and Translators,gemini,0.95
Translator/Interpreter,27-3091.00,Interpreters and Translators,curated,
Transportation Planner,19-3099.01,Transportation Planners,curated,
Treasury Analyst,13-2051.00,Financial and Investment Analysts,gemini,0.9
Tutor,25-3041.00,Tutors,curated,
UI/UX Designer,15-1255.00,Web and Digital Interface Designers,gemini,0.95
University Lecturer,25-1199.00,"Postsecondary Teachers, All Other",gemini,0.9
Urban Designer,19-3051.00,Urban and Regional Planners,gemini,0.9
Urban Planner,19-3051.00,Urban and Regional Planners,gemini,0.98
Urban Sustainability Planner,19-3051.00,Urban and Regional Planners,gemini,0.9
VLSI Design Engineer,17-2072.00,"Electronics Engineers, Except Computer",gemini,0.9
Vaccine Development Specialist,19-1042.00,"Medical Scientists, Except Epidemiologists",gemini,0.9
Validation Engineer,17-2112.02,Validation Engineers,curated,
Valuation Executive,13-2023.00,Appraisers and Assessors of Real Estate,gemini,0.85
Value Engineer,17-2112.00,Industrial Engineers,gemini,0.85
Veteran’s Affairs Dentist,29-1021.00,"Dentists, General",gemini,0.95
Vibration and Condition,,,unmapped,0.95
Virtual Reality Developer,15-1252.00,Software Developers,gemini,0.9
Voice-Over Artist,27-2011.00,Actors,curated,
Waste Management Engineer,17-2081.00,Environmental Engineers,gemini,0.95
Waste Management Officer,19-2041.00,"Environmental Scientists and Specialists, Including Health",gemini,0.8
Waste Management Specialist,13-1041.01,Environmental Compliance Inspectors,curated,
Waste Water Treatment Engineer,17-2051.02,Water/Wastewater Engineers,gemini,0.95
Water Resource Engineer,17-2051.02,Water/Wastewater Engineers,gemini,0.95
Water Resource Specialist,11-9121.02,Water Resource Specialists,curated,
Water Resources Engineer,17-2051.02,Water/Wastewater Engineers,gemini,0.95
Wealth Management Advisor,13-2052.00,Personal Financial Advisors,gemini,0.95
Web Developer,15-1254.00,Web Developers,curated,
Wellness Consultant,11-9179.01,Fitness and Wellness Coordinators,gemini,0.8
Wildlife Biologist,19-1023.00,Zoologists and Wildlife Biologists,curated,
Wildlife Conservationist,19-1031.00,Conservation Scientists,gemini,0.9
Wind and Earthquake Engineer,17-2051.00,Civil Engineers,gemini,0.85
Wireless Communication Engineer,15-1241.01,Telecommunications Engineering Specialists,gemini,0.9
Wireless Power Transfer Engineer,17-2071.00,Electrical Engineers,gemini,0.9
Writer,27-3043.00,Writers and Authors,curated,
Writer Or Author On Islamic Topics,27-3043.00,Writers and Authors,gemini,0.9
Writer/Author,27-3043.00,Writers and Authors,curated,
Writing Instructor,25-1123.00,"English Language and Literature Teachers, Postsecondary",gemini,0.8
Zakat and Waqf Management Officer,13-2099.00,"Financial Specialists, All Other",gemini,0.7
Zoning Officer,13-1041.00,Compliance Officers,gemini,0.85
Zoologist,19-1023.00,Zoologists and Wildlife Biologists,curated,
